"Employer Name","CBA File","Location","Union","Expiration Date","NAICS*","#Wrkrs","Type"
"J & J WORLDWIDE SERVICES - WILLIAM BEAUMONT ARMY MEDICAL CENTER",1968,"TX AUSTIN","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 351","Sep 30, 2014","23731","2452","PRIVATE"
"J.D. STREETT AND COMPANY, INC. (PARK PLANT)",2566,"MO","AUTOMOTIVE, PETROLEUM, ALLIED INDUSTRIES, AND AIRLINE EMP.  618","Jun 30, 2022","325998","6","PRIVATE"
"J.D. STREETT AND COMPANY, INC. (RIVERPLANT)",2565,"MO","AUTOMOTIVE, PETROLEUM, ALLIED INDUSTRIES, AND AIRLINE EMP.  618","Jun 30, 2022","324191","7","PRIVATE"
"J.N. EXHIBIT CONST. INC.",2402,"IL","CJA RC CHICAGO","May 31, 2020",,,"PRIVATE"
"J.R. SIMPLOT CO.",76,"ID CALDWELL","TEAMSTERS (IBT) LOCAL UNION 670","Apr 30, 2007","311211","1400","PRIVATE"
"JACKSON GEAR COMPANY",2071,"PA","COMMUNICATIONS WORKERS AFL-CIO (CWA) LOCAL UNION 88643","Jan 15, 2016","23821",,"PRIVATE"
"JAMAICA HOSPITAL MEDICAL CENTER",884,"NY","CIR/SEIU ","Dec 31, 2019",,,"PRIVATE"
"JAMES F. KEMP, INC",2147,"PA","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 10 5852 S","May 11, 2008","238220",,"PRIVATE"
"JBS",85,"KY","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 227","Jun 30, 2014","311611","1100","PRIVATE"
"JBS",2015,"CO GREELEY","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Sep 29, 2013","445110","2000","PRIVATE"
"JBS",2016,"CO GREELEY","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Sep 29, 2013","445110","2000","PRIVATE"
"JEFFERSON SMURFIT CORP.",125,"OH PA IN NY OK","UPIU/PACE  68,69,285,375,5","Jun 19, 2009","322211","1300","PRIVATE"
"JEWEL FOOD STORES (MEAT, DELI, AND SEAFOOD)",617,"IL CHICAGO","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1546","Mar 2, 2009","445110","4100","PRIVATE"
"JEWEL FOOD STORES N. IL & LAKE & PORTER CNTY IN",618,"IL IN","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 881","Jan 24, 2010","445110","21000","PRIVATE"
"JEWEL FOOD STORES N. IL & LAKE & PORTER CNTY IN",619,"IL IN","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 881","Oct 2, 2005","445110","21000","PRIVATE"
"JEWEL FOOD STORES, INC.",2218,"IL","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1546","Aug 25, 2018",,,"PRIVATE"
"JOBS WITH JUSTICE EDUCATION FUND",2193,"DC","WBNG -","Dec 31, 2016",,,"PRIVATE"
"JOHN DUFFY FUEL COMPANY",2571,"NJ","TEAMSTERS (IBT) LOCAL UNION 560","May 31, 2022","454310","2","PRIVATE"
"JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS",2284,"DC","STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 868 B","Oct 12, 2020",,,"PRIVATE"
"JOHN MORRELL & CO.",50,"SD SIOUX FALLS","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 304 A","Apr 27, 2007","311611","2800","PRIVATE"
"JOHNS HOPKINS HOSPITAL (SERV & MAINT)",849,"MD BALTIMORE","SERVICE EMPLOYEES (SEIU) DISTRICT 1199 DISTRICT 1199E-DC","Dec 1, 2006","62211","1600","PRIVATE"
"JOHNSON AND TOWERS, INC.",848,"NJ","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 32","Apr 11, 2022",,,"PRIVATE"
"JOHNSON CONTROLS (NOW KSL)",1474,"NM","PLUMBERS AFL-CIO (PPF) LOCAL UNION 412","Sep 30, 2005","238220","1500","PRIVATE"
"JOHNSON CONTROLS, INC.",1475,"IL, NM, OH, MI, WI","CWA -","Feb 6, 2012","334210","1000","PRIVATE"
"JOINERS OF AMERICA",2037,"IA","CARPENTERS IND (CJA) LOCAL UNION 106","Apr 30, 2014","23731","1076","PRIVATE"
"JOINT AREA CARTAGE AGMT (MCLAC)",395,"IL CHICAGO","TEAMSTERS (IBT) LOCAL UNION 705","Mar 31, 2008","484121","1000","PRIVATE"
"JOINT AREA CARTAGE AGMT (TMI, RCI, & ITLRA)",394,"IL CHICAGO","TEAMSTERS (IBT) LOCAL UNION 705","Mar 31, 2008","484121","1000","PRIVATE"
"JPATS LOGISTICS SERVICES, LLC (JLS)",2554,"FL","MACHINISTS AFL-CIO (IAM) LODGE 2777","May 15, 2022",,,"PRIVATE"
"JURISDICTIONAL OPERATORS OF PARKING FACILITIES",752,"CA SAN FRAN","TEAMSTERS (IBT) LOCAL UNION 665","Nov 30, 2008","81293","1200","PRIVATE"
"JV VENTURES DBA AUNTIE ANNE'S PRETZELS",2345,"NV","CWU 226","May 31, 2021",,,"PRIVATE"
"KAISER FOUNDATION HOSPITAL & HEALTH PLAN INC.",891,"HI HONOLULU","UNITE HERE  5","Jun 30, 2009","62211","1300","PRIVATE"
"KAISER FOUNDATION HOSPITALS & HEALTH PLAN OF NW",879,"OR WA","SERVICE EMPLOYEES (SEIU) LOCAL UNION 49","Sep 30, 2006","62211","2300","PRIVATE"
"KAISER FOUNDATION HOSPITALS SO. CA",2031,"CA SOUTHERN","SERVICE EMPLOYEES (SEIU) LOCAL UNION 535","Jan 31, 2012","62211","1000","PRIVATE"
"KAISER FOUNDATION HOSPITALS SO. CA (CLKS & AIDES)",978,"CA SAN BERNARDINO","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 12 7600 S","Oct 1, 2005","62211","2900","PRIVATE"
"KAISER PERMANENTE",779,"CA NORTHERN","SERVICE EMPLOYEES (SEIU) LOCAL UNION 250 HEALTH CARE WORKERS UNION","Sep 30, 2005","62211","14000","PRIVATE"
"KAISER PERMANENTE",795,"CA NORTHERN","CNA ","Aug 31, 2006","62211","8300","PRIVATE"
"KAISER PERMANENTE (LPN'S & TECHNICIANS)",860,"CO DENVER","SERVICE EMPLOYEES (SEIU) LOCAL UNION 105 LOCAL 105","Apr 30, 2006","621491","1300","PRIVATE"
"KAISER PERMANENTE (RNS) (SO. CA REGION)",893,"CA","AFSCME/NUHHCE  -","Sep 30, 2010","62211","6000","PRIVATE"
"KAISER-HILL COMPANY LLC",23,"CO","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 12 8031 S","Jan 15, 2007",,,"PRIVATE"
"KELLOGG CO.",42,"OH CINCINNATI","BCTW 253","Apr 30, 2006","311821","3300","PRIVATE"
"KELLOGG CO.",57,"MI NE TN PA","BCTW 3,50,252,374","Sep 27, 2009","31123","3800","PRIVATE"
"KELLY-SPRINGFIELD TIRE CO.",175,"NC","USW -","Jul 22, 2006","31123",,"PRIVATE"
"KENNECOTT UTAH COPPER CORP",1082,"UT SALT LAKE C","5 UNIONS 14 LOCALS","Sep 30, 2009","212234","1700","PRIVATE"
"KENNEDY TANK & MANUFAC. CO. INC.",1836,"IN INDIANAPOLIS","BOILERMAKERS AFL-CIO (BBF) LODGE 374","Apr 30, 2011","238390","1000","PRIVATE"
"KENTUCKY BUILDING AGREEMENT",910,"KY NORTHWEST","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 181","May 31, 2006","23731","2800","PRIVATE"
"KENTUCKY HEAVY-HIGHWAY",909,"KY","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 181","Dec 31, 2008","23731","2800","PRIVATE"
"KERN, INYO & MONO COUNTIES SHEET METAL & AC CONTR",1387,"CA BAKERSFIELD","SMW 108","Jun 30, 2003","23822","2200","PRIVATE"
"KEWAUNEE FABRICATIONS, LLC",2465,"WI","BOILERMAKERS AFL-CIO (BBF) LODGE 487","May 1, 2022",,,"PRIVATE"
"KEY MARKET",2205,"CA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 101","Oct 8, 2011",,,"PRIVATE"
"KEYSPAN CORPORATION",502,"NY LONG ISLAND","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 1049","Feb 13, 2004","221122","2000","PRIVATE"
"KEYSPAN ENERGY",484,"NY","TRANSPORT WORKERS AFL-CIO (TWU) LOCAL UNION 101 UTILITY DIVISION","Oct 15, 2005","221210","1350","PRIVATE"
"KEYSTONE BLDG CONTRACTORS ASSOCIATION",1265,"PA WESTERN","LABORERS  (LIUNA) LOCAL UNION 419/LABORERS  (LIUNA) LOCAL UNION 824/LABORERS  (LIUNA) LOCAL UNION 910","Jun 30, 2005","23622","1500","PRIVATE"
"KEYSTONE BLDG CONTRACTORS ASSOCIATION (21 COUNTIES)",1395,"PA HARRISBURG","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 66","Jun 30, 2005","23622","5000","PRIVATE"
"KEYSTONE CONTRACTORS ASSOCIATION",1055,"PA","OPCMIA 526","May 31, 2005",,,"PRIVATE"
"KEYSTONE CONTRACTORS' ASSOCIATION",1631,"PA CENTRAL","CJA GRTR PA RC","May 31, 2007","23621","4000","PRIVATE"
"KEYSTONE STEEL & WIRE (DIV.OF KEYSTONE CONSOLID.)",197,"IL PEORIA","ISWA ","May 2, 2006","331222","1200","PRIVATE"
"KIESSLING TRANSIT, INCE (MWRTA FACILITY)",2519,"MA","TRANSIT UNION AFL-CIO (ATU) LOCAL DIVISION 22","Jun 30, 2019",,,"PRIVATE"
"KIMBERLY-CLARK CORP.",134,"WA","UPPW 143, 644","May 31, 2005",,,"PRIVATE"
"KIMBERLY-CLARK CORP.",135,"PA CHESTER","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 10 488","Apr 1, 2015","322121","1000","PRIVATE"
"KIMBERLY-CLARK CORP.",136,"PA CHESTER","STEELWORKERS, AFL-CIO (USW) LOCAL UNION 10 448","Apr 1, 2018","322121","1000","PRIVATE"
"KIMBERLY-CLARK CORP.",137,"PA CHESTER","PACE 448","Mar 31, 2010","322121","1000","PRIVATE"
"KIMBERLY-CLARK CORP. (LAKEVIEW/ BADGER GLOBE MILL)",120,"WI NEENAH","UPIU/PACE  482","May 31, 2005","322121","1200","PRIVATE"
"KING COUNTY MASTER AGREEMENT",723,"WA","SERVICE EMPLOYEES (SEIU) LOCAL UNION 6","Jun 30, 2008",,,"PRIVATE"
"KING KULLEN FOOD STORES INC.",570,"NY","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500","Jun 20, 2002","445110","3000","PRIVATE"
"KING KULLEN GROCERY CO. INC.",569,"NY","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500","Dec 30, 2017","445110","3000","PRIVATE"
"KING KULLEN GROCERY CO. INC.",1970,"NY","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500","Jun 26, 2010","445110","3000","PRIVATE"
"KING KULLEN PHARMACY, INC.",1779,"NY","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1500 UFCW UNION LOCAL 1500","Dec 30, 2017","445110","3000","PRIVATE"
"KING SOOPERS",2200,"CO","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Sep 14, 2013",,,"PRIVATE"
"KING SOOPERS INC, DIV OF DILLON COS. (GROC CLERKS)",671,"CO DENVER","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Sep 11, 2004","445110","7500","PRIVATE"
"KING SOOPERS INC, DIV OF DILLON COS. (MEAT DEPTS)",677,"CO DENVER","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Sep 12, 2015","445110","2500","PRIVATE"
"KING SOOPERS INC, DIV OF DILLON COS. (MEAT DEPTS)",678,"CO DENVER","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Sep 11, 2004","445110","2500","PRIVATE"
"KING SOOPERS INC. (MEAT PLANT)",2017,"CO DENVER METRO","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Sep 14, 2013","445110","2000","PRIVATE"
"KING SOOPERS INC. (STORE 86 RETAIL CLERKS)",2018,"CO BROOMFIELD","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Sep 14, 2013","445110","2000","PRIVATE"
"KING SOOPERS/CITY MARKET",2199,"CO","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 7 R","Feb 23, 2019",,,"PRIVATE"
"KINGS AIRE, INC",1971,"","ENGINEERS, OPERATING, AFL-CIO (IUOE) LOCAL UNION 351","Dec 31, 2014",,,"PRIVATE"
"KINGS SUPER MARKETS, INC.",601,"NJ","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1245","Nov 19, 2005","445110","2000","PRIVATE"
"KNAPPEN MILLING COMPANY",2548,"MI","BCTGMI 3-G","Mar 6, 2022",,,"PRIVATE"
"KNIGHT PROTECTIVE SERVICES, INC",1766,"MI","GOVERNMENT SECURITY OFFICERS, IND (UGSOA) LOCAL UNION 206","Feb 29, 2012","561612","1000","PRIVATE"
"KNUDSEN CONSTRUCTION INC. MILLWORK DIVISION",2404,"IL","CJA RC CHICAGO","May 31, 2019",,,"PRIVATE"
"KOCH REFRIGERATION AND AIR CONDITIONING, INC.",1127,"OH","OPEIU 75","Dec 31, 2022","238290","6","PRIVATE"
"KOHLER CO.",214,"WI KOHLER","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 833","Oct 1, 2007","332913","3400","PRIVATE"
"KRAFT FOODS CORP., OSCAR MAYER FOODS DIV",44,"IA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 431","Jul 25, 2010","311611","1700","PRIVATE"
"KRAFT FOODS CORP., OSCAR MAYER FOODS DIV",46,"IA DAVENPORT","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 431","Apr 9, 2006","311611","1700","PRIVATE"
"KRAFT FOODS GLOBAL INC.",45,"IA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 431","Jul 20, 2014","311611","1700","PRIVATE"
"KRAFT FOODS INC.",47,"WI","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 538","Dec 10, 2009",,,"PRIVATE"
"KRAFT FOODS, INC. (WAS NABISCO BRANDS)",58,"IL CHICAGO","BCTGM 300","Jan 31, 2009","311821","1100","PRIVATE"
"KROGER",2203,"OH","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 75","Jun 16, 2018",,,"PRIVATE"
"KROGER (METRO GROCERY DIVISION)",2216,"MI","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 876","Mar 25, 2017",,,"PRIVATE"
"KROGER CO.",623,"TX DALLAS METRO","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1000","Dec 7, 2002","445110","6000","PRIVATE"
"KROGER CO. (ATLANTA DIVISION)",2217,"GA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1996","Mar 15, 2014",,,"PRIVATE"
"KROGER CO. (CLERKS) (MOA)",545,"IL PEORIA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 536","Sep 30, 2009","445110","1400","PRIVATE"
"KROGER CO. (COLUMBUS MARKETING AREA)",621,"PA OH WV","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 23","Nov 6, 2004","445110","1200","PRIVATE"
"KROGER CO. (FOOD)",622,"OH CENT & SW","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 591 C","Nov 5, 2005","445110","8000","PRIVATE"
"KROGER CO. (FRONT-END/GROCERY/PRODUCE)",625,"GA AL","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1996","May 14, 2005","445110","7600","PRIVATE"
"KROGER CO. CHARLESTON (MID-ATLANTIC)",620,"WV CHARLESTON","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 347","Oct 11, 2003","445110","4500","PRIVATE"
"KROGER COMPANY",654,"MI","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 876","Jun 5, 2004","445110","8500","PRIVATE"
"KROGER COMPANY (DRUG/G.M.)",568,"GA ATLANTA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1996","May 7, 2005","445110","900","PRIVATE"
"KROGER COMPANY (GROCERY)",562,"OH NORTHWEST","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 911","Apr 7, 2007","445110","2400","PRIVATE"
"KROGER COMPANY (MEAT DIVISION)",653,"MI","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 876","Jun 15, 2013","445110","8500","PRIVATE"
"KROGER DELTA DIVISION",2213,"TN","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1529","Feb 24, 2019",,,"PRIVATE"
"KROGER FOOD STORES",634,"OH CINCINNATI/DAYTON","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1099","Oct 9, 2010","445110","8000","PRIVATE"
"KROGER FOOD STORES",700,"GA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1996","Sep 12, 2009","445110","2350","PRIVATE"
"KROGER FOOD STORES (CINCINNATI STORES)",633,"IN KY OH","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1099","Oct 9, 2004","445110","8000","PRIVATE"
"KROGER FOOD STORES (CLERKS)",646,"TX HOUSTON","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 455","Apr 3, 2004","445110","11500","PRIVATE"
"KROGER FOOD STORES (DELI/MEAT/SEAFOOD)",699,"GA AL SC","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1996","May 14, 2005","445110","2350","PRIVATE"
"KROGER LIMITED PARTNERSHIP",2211,"IN","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 700","May 12, 2016",,,"PRIVATE"
"KROGER LIMITED PARTNERSHIP (CLERKS)",578,"TN MO MS AR KY","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1529","Oct 6, 2007","445110","5200","PRIVATE"
"KROGER LIMITED PARTNERSHIP I",670,"AL KY TN","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1995","May 15, 2004","445110","9200","PRIVATE"
"KROGER LIMITED PARTNERSHIP I (CLERKS)",546,"IL PEORIA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 536","Aug 31, 2004","445110","1400","PRIVATE"
"KROGER LIMITED PARTNERSHIP I (GROCERY)",659,"AR LITTLE ROCK","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 2008","Jun 24, 2006","445110","2100","PRIVATE"
"KROGER LIMITED PARTNERSHIP I (INDIANAPOLIS CLERKS)",624,"IN INDIANAPOLIS","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 700","Nov 1, 2003","445110","4000","PRIVATE"
"KROGER LIMITED PARTNERSHIP I (MEAT AND DELI)",577,"TN MEMPHIS","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1529","Oct 6, 2007","445110","1150","PRIVATE"
"KROGER LIMITED PARTNERSHIP I (MID-ATLANTIC)",683,"VA WV TN","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 400","Mar 26, 2005","445110","3700","PRIVATE"
"KROGER LIMITED PARTNERSHIP, I LOUISVILLE DIV.",651,"KY LOUISVILLE","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 227","Apr 10, 2004","445110","10000","PRIVATE"
"KROGER TEXAS LP",2209,"TX","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 1000","Jun 3, 2017",,,"PRIVATE"
"KROGER TEXAS LP",2214,"TX","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 455","Apr 9, 2016",,,"PRIVATE"
"KROGER TEXAS LP",2215,"TX, LA","FOOD AND COMMERCIAL WKRS (UFCW) LOCAL UNION 455","Apr 11, 2020",,,"PRIVATE"
"KYW-TV & WPSG-TV",2171,"PA PHILADELPHIA","STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 804","Jul 15, 2018","515120",,"PRIVATE"
"L A RESOURCES INC.",992,"TX BEAUMONT","PLUMBERS AFL-CIO (PPF) LOCAL UNION 195","Aug 31, 2004","23822","1000","PRIVATE"
"L.L. BROOKS ENTERPRISES, INC. (WHITEMAN  AFB, MISSOURI)",2564,"MO","STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 780","May 31, 2020","561990","18","PRIVATE"
"LABOR INSTITUTE INC., THE",3678,"NY","USW 4-406","Oct 31, 2021","611710","5","PRIVATE"
"LABOR RELATIONS DIV. OF CONSTRN. INDUSTRIES OF MASSACHUSETTS INC.",1256,"MA","LIUNA ","May 30, 2008",,,"PRIVATE"
"LABORERS' DISTRICT COUNCIL CONSTRUCTION INDUSTRY PENSION FUND",821,"PA","OFFICE AND PROFESSIONAL EMPLS AFL-CIO (OPEIU) LOCAL UNION 32","Dec 31, 2020",,,"PRIVATE"
"LACLEDE GAS CO.",488,"MO ST LOUIS","PACE LU 5-6","Jul 31, 2008","221210","1150","PRIVATE"
"LACLEDE GAS COMPANY",2239,"MO","PAICEWIU 5-194","Jul 31, 2004",,,"PRIVATE"
"LAKE UNION DRYDOCK COMPANY",2358,"WA","MTD PUGET SOUNDS","Jul 30, 2018",,,"PRIVATE"
"LAKE UNION DRYLOCK COMPANY",1819,"WA","MTD PACIFIC COAST DC-PUGET SOUND","Jun 30, 2012","238390","1400","PRIVATE"
"LAKE UNION DRYLOCK COMPANY",1820,"WA","MTD PACIFIC COAST DC- PUGET SOUND","Jul 1, 2009","238390","1400","PRIVATE"
"LAND-O-SUN DAIRIES/PET DAIRY PRODUCTS",52,"GA KY NC SC TN","TEAMSTERS (IBT) LOCAL UNION 22/TEAMSTERS (IBT) LOCAL UNION 509/TEAMSTERS (IBT) LOCAL UNION 549/TEAMSTERS (IBT) LOCAL UNION 592/TEAMSTERS (IBT) LOCAL UNION 61/TEAMSTERS (IBT) LOCAL UNION 822","Sep 30, 2009","311514","1000","PRIVATE"
"LANDSCAPE AND EROSION CONTROL CONTRACTORS",2493,"MN","LABORERS  (LIUNA) DISTRICT COUNCIL 0 MINNESOTA-NORTH DAKOTA","Apr 30, 2020",,,"PRIVATE"
"LAS VEGAS HOTEL & CASINO",1989,"NV","HERE 226","May 31, 2012","72112","1900","PRIVATE"
"LATHING & PLASTERING CONTRACTORS ASSOC.",1852,"MN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 633","Apr 30, 2017","238140","1730","PRIVATE"
"LATHING & PLASTERING CONTRACTORS ASSOC. OF GARY, IN INC.",1875,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","Jun 30, 2015","238140","1730","PRIVATE"
"LATHING & PLASTERING CONTRACTORS ASSOC. OF GARY, IN INC.",1876,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","Jun 30, 2012","238140","1730","PRIVATE"
"LATHING & PLASTERING CONTRACTORS ASSOC. OF HAMMOND, IN INC.",1868,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","Jun 30, 2012","238140","1730","PRIVATE"
"LATHING & PLASTERING CONTRACTORS ASSOC. OF HAMMOND, IN INC.",1867,"IN","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) LOCAL UNION 692","Jun 30, 2015","238140","1730","PRIVATE"
"LEAGUE OF VOLUNTARY HOSPITALS & HOMES",780,"NY","SEIU 1199","Sep 30, 2011","62211","38000","PRIVATE"
"LEAGUE OF VOLUNTARY HOSPITALS & HOMES",781,"NY","SEIU 1199","Sep 30, 2018","62211","38000","PRIVATE"
"LEAGUE OF VOLUNTARY HOSPITALS & HOMES",782,"NY NEW YORK","NHHSEU 1199","Apr 30, 2005","62211","38000","PRIVATE"
"LEARJET INC.",309,"KS","MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 70/MACHINISTS AFL-CIO (IAM) LODGE 639","Oct 5, 2009","336412","1462","PRIVATE"
"LEARJET INC.",310,"KS WICHITA","MACHINISTS AFL-CIO (IAM) DISTRICT LODGE 70","Oct 4, 2004","336412","1462","PRIVATE"
"LEGAL AID OF WEST VIRGINIA",1498,"VA","APPALACHIAN LEGAL SERVICES  ","Dec 31, 2023",,,"PRIVATE"
"LEGAL SERVICES NYC",2030,"NY","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 2320 LEGAL SERVICES WORKERS","Jun 30, 2012","61131","4283","PRIVATE"
"LEHIGH CEMENT COMPANY LLC",2462,"IA","BOILERMAKERS AFL-CIO (BBF) LODGE 106 D CEMENT WORKERS","Oct 5, 2020",,,"PRIVATE"
"LEVI STRAUSS AND CO.",103,"NATIONAL","UNITE HERE  -","Nov 30, 2006","315211","6200","PRIVATE"
"LEVY PREMIUM FOODSERVICE PARTNERSHIP",2306,"NV","CWU 226","Aug 31, 2022",,,"PRIVATE"
"LEWELLEN & BEST DISPLAYS",2403,"IL","CJA RC CHICAGO","May 31, 2020",,,"PRIVATE"
"LIBERTY PULTRUSION WEST MIFFLIN PLAN",2074,"PA","COMMUNICATIONS WORKERS AFL-CIO (CWA) LOCAL UNION 88643","Oct 1, 2015","23821","1000","PRIVATE"
"LIGHTING & ELECTRICAL MAINTENANCE ASSOCIATION",1516,"NY NEW YORK","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 3","Jun 30, 2005","23821","1300","PRIVATE"
"LIGHTING MANUFACTURERS GROUP (PROD, ELECTR)",270,"NY NJ","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 3","Jun 30, 2004","335121","1100","PRIVATE"
"LIGHTING MANUFACTURERS GROUP (PRODUCTION, ELECTRICAL)",269,"NY NJ","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 3","Jun 30, 2010","335121","1100","PRIVATE"
"LIGHTNING EXPRESS DELIVERY SERVICE INC.",2528,"NY","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) LOCAL UNION 363","Apr 30, 2022","484110","22","PRIVATE"
"LINCOLN CITY, LLC",2029,"NY","SERVICE EMPLOYEES (SEIU) LOCAL UNION 503","Sep 30, 2011","485111","51527","PRIVATE"
"LITHOGRAPHIC INDUSTRIES, INC.",2590,"IL","GCC/IBT 4-458M","Apr 30, 2022","323111","3","PRIVATE"
"LIVE NATION WORLDWIDE, INC.",1128,"MI","STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) LOCAL UNION 38","May 31, 2021",,,"PRIVATE"
"LOCKHEED MARTIN (MARITIME,SPACE,MISSILES&FIRE CONTROL)",12,"CO FL MD","AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 738/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 766/AUTO WORKERS AFL-CIO (UAW) LOCAL UNION 788","Nov 1, 2007","336411","1050","PRIVATE"
"LOCKHEED MARTIN (MISSION SYSTEMS AND TRAINING SERVICES, INC.)",2093,"AR","- ","Dec 31, 2018","336411","1000","PRIVATE"
"LOCKHEED MARTIN (MISSION SYSTEMS AND TRAINING SERVICES, INC.)",2094,"AR","LRAITSP ","Mar 4, 2018","336411","1000","PRIVATE"
